Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
256,8,TRANSPOSITION,SEQUENTIAL,0.000357047
256,8,TRANSPOSITION,SEQUENTIAL,0.000352763
256,8,TRANSPOSITION,SEQUENTIAL,0.000350527
256,8,TRANSPOSITION,SEQUENTIAL,0.000352725
256,8,TRANSPOSITION,SEQUENTIAL,0.000352398
256,8,TRANSPOSITION,SEQUENTIAL,0.000350021
512,8,SYMMETRY,SEQUENTIAL,0.000523739
512,8,TRANSPOSITION,SEQUENTIAL,0.003746413
512,8,SYMMETRY,SEQUENTIAL,0.000517473
512,8,TRANSPOSITION,SEQUENTIAL,0.002582803
512,8,SYMMETRY,SEQUENTIAL,0.000521958
512,8,TRANSPOSITION,SEQUENTIAL,0.002587296
512,8,SYMMETRY,SEQUENTIAL,0.000521928
512,8,TRANSPOSITION,SEQUENTIAL,0.002583586
512,8,SYMMETRY,SEQUENTIAL,0.000517540
512,8,TRANSPOSITION,SEQUENTIAL,0.002594382
512,8,TRANSPOSITION,SEQUENTIAL,0.002530150
512,8,TRANSPOSITION,SEQUENTIAL,0.002530932
512,8,TRANSPOSITION,SEQUENTIAL,0.002529256
512,8,TRANSPOSITION,SEQUENTIAL,0.002529010
512,8,TRANSPOSITION,SEQUENTIAL,0.002524965
1024,8,SYMMETRY,SEQUENTIAL,0.003394522
1024,8,TRANSPOSITION,SEQUENTIAL,0.020638667
1024,8,SYMMETRY,SEQUENTIAL,0.002994895
1024,8,TRANSPOSITION,SEQUENTIAL,0.017315798
1024,8,SYMMETRY,SEQUENTIAL,0.002991319
1024,8,TRANSPOSITION,SEQUENTIAL,0.017288305
1024,8,SYMMETRY,SEQUENTIAL,0.002994768
1024,8,TRANSPOSITION,SEQUENTIAL,0.017293796
1024,8,SYMMETRY,SEQUENTIAL,0.002995141
1024,8,TRANSPOSITION,SEQUENTIAL,0.017287366
1024,8,TRANSPOSITION,SEQUENTIAL,0.017286576
1024,8,TRANSPOSITION,SEQUENTIAL,0.017325148
1024,8,TRANSPOSITION,SEQUENTIAL,0.017294548
1024,8,TRANSPOSITION,SEQUENTIAL,0.017280944
1024,8,TRANSPOSITION,SEQUENTIAL,0.017283835
2048,8,SYMMETRY,SEQUENTIAL,0.020225488
2048,8,TRANSPOSITION,SEQUENTIAL,0.093366213
2048,8,SYMMETRY,SEQUENTIAL,0.015107274
2048,8,TRANSPOSITION,SEQUENTIAL,0.080569595
2048,8,SYMMETRY,SEQUENTIAL,0.014868990
2048,8,TRANSPOSITION,SEQUENTIAL,0.080353551
2048,8,SYMMETRY,SEQUENTIAL,0.015086107
2048,8,TRANSPOSITION,SEQUENTIAL,0.080855086
2048,8,SYMMETRY,SEQUENTIAL,0.014666274
2048,8,TRANSPOSITION,SEQUENTIAL,0.080975540
2048,8,TRANSPOSITION,SEQUENTIAL,0.077231273
2048,8,TRANSPOSITION,SEQUENTIAL,0.077130795
2048,8,TRANSPOSITION,SEQUENTIAL,0.077991515
2048,8,TRANSPOSITION,SEQUENTIAL,0.078122646
2048,8,TRANSPOSITION,SEQUENTIAL,0.076877855
4096,8,SYMMETRY,SEQUENTIAL,0.129908517
4096,8,TRANSPOSITION,SEQUENTIAL,0.374943115
4096,8,SYMMETRY,SEQUENTIAL,0.187203959
4096,8,TRANSPOSITION,SEQUENTIAL,0.543054312
4096,8,SYMMETRY,SEQUENTIAL,0.187926516
